Sku,Title,Price,Regular Price,Primary,Sub,Sub Sub,img
26-3340,2 Pcs Pack Pink & Yellow Steel Wool Sponge,57,57,Cleaning,Cleaning Tools and Supplies,Sponges and Scouring Pads,https://fixit.com.bd/wp-content/uploads/2020/01/26-3340A.jpg
05-1261,25mm Antique Copper Color Pipe Socket Victorian Cut Design,103,108,Plumbing,Pipes and Fittings,Steel Pipe and Fittings,https://fixit.com.bd/wp-content/uploads/2020/01/05-1261-web.jpg
26-1753,Plastic Metal Household Food Clamp Clip Large Size Bread Tong,105,110,Kitchen,Cooking and Food Preparation,Tongs and Forks,https://fixit.com.bd/wp-content/uploads/2020/01/26-1753A.jpg
26-1796,Plastic Lemon Orange & Fruit Juicer Squeezer with Cup,105,110,Kitchen,Small Appliances,Kitchen Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/26-1796A.jpg
26-1831,Traditional Stainless Steel Food Tongs,105,110,Kitchen,Cooking and Food Preparation,Tongs and Forks,https://fixit.com.bd/wp-content/uploads/2020/01/26-1831A.jpg
26-3162,Off White Color Cloth Brush,105,110,Cleaning,Cleaning Tools and Supplies,Cloth Brushes,https://fixit.com.bd/wp-content/uploads/2020/01/26-3162A.jpg
26-3436,White & Pink Kitchen Cleaner Sponge Pair,105,110,Cleaning,Cleaning Tools and Supplies,Sponges and Scouring Pads,https://fixit.com.bd/wp-content/uploads/2020/01/26-3436A.jpg
26-3457,Steel Wool With Small Plastic Handle for better grip & faster clean,105,110,Kitchen,Small Appliances,Scrubbers and Sponges,https://fixit.com.bd/wp-content/uploads/2020/01/26-3457A.jpg
18-134,12 Inch Iron Sickle with Wooden Handle HMBR Brand,106,106,Lawn and Garden,Garden Tools,Gardening Tools,https://fixit.com.bd/wp-content/uploads/2020/01/18-134A.jpg
24-011,100 ml Draino Powder Drain Cleaner/Clog Remover HMBR Brand,90,90,Plumbing,Drain Openers,Chemical Drain Cleaners|Qurbani Specials,https://fixit.com.bd/wp-content/uploads/2020/01/24-011-web.jpg
20-1213,14 Inch Size 350mm Off-White Color 24 Pcs Packet Cable Tie,114,120,Electrical,Electrical Tools and Accessories,Cable Tie,https://fixit.com.bd/wp-content/uploads/2020/01/20-1213A.jpg
26-3234,Stainless Steel Key Holder with Key Ring Rimei Brand,114,120,Tools and Hardware,Keys and Accessories,,https://fixit.com.bd/wp-content/uploads/2020/01/26-3234A.jpg
26-3766,(1 Kg Capacity) 3 Pcs FishStar &amp; Squid Multi Color Adhesive Picture Hook (Sticks to Wall),86,86,Tools and Hardware,Fasteners,Picture and Mirror Hanging,https://fixit.com.bd/wp-content/uploads/2020/01/26-3336A.jpg
26-3430,Metal Pet Dogs Key Holder Puppy Key Ring,114,120,Tools and Hardware,Keys and Accessories,,https://fixit.com.bd/wp-content/uploads/2020/01/26-3430A.jpg
